Name,Age,Is Older,Age Diff,Occupation,Function,Hometown,City,State,Region,ElimWeek,Season,First_Impression_Rose,Hair Color,Is Blonde,Winner,Height
Amanda Marsh,23,0,8,Event Planner,Retail/Services/Entrepreneur,"Chanute, Kansas",Chanute,Kansas,Midwest,7,1,0,Blonde,1,1,68
Trista Rehn,29,0,2,Miami Heat Dancer,Arts/Entertainment,"Miami, Florida",Miami,Florida,South,6,1,0,Blonde,1,0,
Shannon Oliver,24,0,7,Financial Management Consultant,Finance,"Dallas, Texas",Dallas,Texas,South,5,1,0,Brown,0,0,
Kim,24,0,7,Nanny,Retail/Services/Entrepreneur,"Tempe, Arizona",Tempe,Arizona,West,4,1,0,Blonde,1,0,
Cathy Grimes,22,0,9,Graduate Student,Student,"Terra Haute, Indiana",Terra Haute,Indiana,Midwest,3,1,0,Blonde,1,0,
Christina,28,0,3,Attorney,Legal,"Bonita, California",Bonita,California,West,3,1,0,,,0,
LaNease Adams,23,0,8,Actress,Arts/Entertainment,"Los Angeles, California",Los Angeles,California,West,3,1,0,Black,0,0,
Rhonda,28,0,3,Commercial Real Estate Agent,Real Estate,"Woodward, Oklahoma",Woodward,Oklahoma,South,3,1,0,Brown,0,0,
Alexa,27,0,4,Special Ed. Teacher,Education,"Beverly Hills, California",Beverly Hills,California,West,2,1,0,,,0,
Amy,28,0,3,Production Coordinator,Arts/Entertainment,"New York, New York",New York,New York,Northeast,2,1,0,,,0,
Angela,25,0,6,Hooters Waitress,Restaurant,"Avondale, Arizona",Avondale,Arizona,West,2,1,0,,,0,
Angelique,27,0,4,Actress,Arts/Entertainment,"Burbank, California",Burbank,California,West,2,1,0,,,0,
Katie,23,0,8,Power Tool Sales Rep.,Sales,"Malden, Massachusetts",Malden,Massachusetts,Northeast,2,1,0,,,0,
Melissa,25,0,6,Photographer,Arts/Entertainment,"Tempe, Arizona",Tempe,Arizona,West,2,1,0,Brown,0,0,
Tina,27,0,4,Graduate Student,Student,"Plano, Texas",Plano,Texas,South,2,1,0,Black,0,0,
Amber,29,0,2,Business Development Director,Sales,"Los Angeles, California",Los Angeles,California,West,1,1,0,,,0,
Daniela,30,0,1,Neuropsychologist,Medical,"Seattle, Washington",Seattle,Washington,West,1,1,0,,,0,
Denise,30,0,1,Doctor,Medical,"Honolulu, Hawaii",Honolulu,Hawaii,West,1,1,0,Brown,0,0,
Jackie,22,0,9,Bar Manager,Restaurant,"Pittsburgh, Pennsylvania",Pittsburgh,Pennsylvania,Northeast,1,1,0,,,0,
Jill,31,0,0,Retail Manager,Retail/Services/Entrepreneur,"Chicago, Illinois",Chicago,Illinois,Midwest,1,1,0,Brown,0,0,
Kristina,27,0,4,Advertising Executive,Marketing,"Los Angeles, California",Los Angeles,California,West,1,1,0,Brown,0,0,
Lisa,29,0,2,Attorney,Legal,"Dallas, Texas",Dallas,Texas,South,1,1,0,Brown,0,0,
Paula,24,0,7,Insurance Representative,Sales,"Swansea, Massachusetts",Swansea,Massachusetts,Northeast,1,1,0,,,0,
Rachel,29,0,2,6th Grade Teacher,Education,"Eastchester, New York",Eastchester,New York,Northeast,1,1,0,,,0,
Wendi,26,0,5,Technology Specialist,Corporate,"Dallas, Texas",Dallas,Texas,South,1,1,0,Brown,0,0,
Helene Eksterowicz,27,0,1,School Psychologist,Education,"Gloucester, New Jersey",Gloucester,New Jersey,Northeast,8,2,0,Blonde,1,1,68
Brooke Smith,22,0,6,College Student,Student,"Albertville, Alabama",Albertville,Alabama,South,7,2,0,Blonde,1,0,
Gwen Gioia,31,1,3,Executive Recruiter,Sales,"Philadelphia, Pennsylvania",Philadelphia,Pennsylvania,Northeast,6,2,0,Blonde,1,0,
Angela,27,0,1,Registered Nurse,Medical,"Kansas City, Missouri",Kansas City,Missouri,Midwest,5,2,0,,,0,
Hayley,28,0,0,Retail Manager,Retail/Services/Entrepreneur,"Lake Oswego, Oregon",Lake Oswego,Oregon,West,4,2,0,,,0,
Heather Crawford,30,1,2,Flight Attendant,Transportation,"Dallas, Texas",Dallas,Texas,South,4,2,0,,,0,
Christi,23,0,5,Assistant Financial Advisor,Finance,"Boise, Idaho",Boise,Idaho,West,3,2,0,,,0,
Heather,24,0,4,Marriage Therapy Trainee,Medical,"Walnut Creek, California",Walnut Creek,California,West,3,2,0,,,0,
Kyla,22,0,6,Airline Supervisor,Transportation,"Midvale, Utah",Midvale,Utah,West,3,2,0,,,0,
Shannon,26,0,2,Graphic Artist,Arts/Entertainment,"Long Island, New York",Long Island,New York,Northeast,3,2,0,,,0,
Dana,24,0,4,Radio Sales,Sales,"Beverly Hills, California",Beverly Hills,California,West,2,2,0,,,0,
